# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	25055
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=107 d=7.79577 t=25055
ni xian zai 	你现在	c=8 d=0.070128 t=25055
ni xian zi 	你仙子	c=1 d=1.72426e-27 t=25055
ni xiang 	你想	c=2 d=0.895834 t=25055
ni xiang gan ma 	你想干嘛	c=1 d=5.98213e-15 t=25055
ni xiang gei wo kan 	你想给我看	c=1 d=1.57205e-28 t=25055
ni xiao zi 	你小子	c=2 d=0.121846 t=25055
ni xie 	你写	c=1 d=1.84482e-28 t=25055
ni xu yao 	你需要	c=1 d=8.49627e-25 t=25055
ni ya 	妮娅	c=1 d=0.891366 t=25055
ni yao 	你要	c=0 d=2.2909e-18 t=25055
ni yao bu 	你要步	c=2 d=5.78905e-17 t=25055
ni yao shi 	你要是	c=5 d=0.501576 t=25055
ni yao shuo 	你要说	c=1 d=0.287941 t=25055
ni ye 	你也	c=2 d=0.932394 t=25055
ni ye shi 	你也是	c=1 d=1.44145e-37 t=25055
ni ye you 	你也有	c=1 d=2.17651e-32 t=25055
ni yi si 	你意思	c=1 d=8.38145e-12 t=25055
ni ying gai 	你应该	c=3 d=0.759572 t=25055
ni yong 	你用	c=2 d=1.35589e-23 t=25055
ni you 	你有	c=0 d=0.0126818 t=25055
ni you dian nao 	你有电脑	c=1 d=6.19732e-19 t=25055
ni you sha 	你有啥	c=1 d=3.78285e-35 t=25055
ni you yi ge mei mei 	你有一个妹妹	c=1 d=0.127454 t=25055
ni zai 	你在	c=2 d=0.00509243 t=25055
ni zai gan ma 	你在干吗	c=1 d=0.000777055 t=25055
ni zai kan 	你在看	c=1 d=5.26289e-08 t=25055
ni zen me 	你怎么	c=1 d=0.479505 t=25055
ni zhe 	你这	c=5 d=0.364219 t=25055
ni zhe bu hui 	你这不会	c=1 d=0.557106 t=25055
ni zhe ge 	你这个	c=4 d=9.48663e-05 t=25055
ni zhe yang 	你这样	c=3 d=0.00960963 t=25055
ni zhen 	你真	c=1 d=4.1851e-18 t=25055
ni zhen dui 	你针对	c=1 d=0.145876 t=25055
ni zheng 	你整	c=1 d=0.606531 t=25055
ni zhi 	你只	c=1 d=2.5477e-24 t=25055
ni zhi dao 	你知道	c=2 d=0.0220377 t=25055
ni zhi jie 	你直接	c=2 d=4.7293e-15 t=25055
ni zhi jin e 	你只金额	c=1 d=1.71508e-23 t=25055
ni zhi yao 	你只要	c=1 d=8.76098e-33 t=25055
ni zi ji 	你自己	c=1 d=0.951229 t=25055
nian 	年	c=4 d=0.941765 t=25055
nian fen 	年份	c=3 d=1.38959e-17 t=25055
nian ji 	年级	c=2 d=0.900325 t=25055
nian ji 	年纪	c=1 d=0.909373 t=25055
nian nian sui sui 	年年岁岁	c=1 d=3.00611e-37 t=25055
nian nian sui sui hua xiang si 	年年岁岁花相似	c=1 d=3.02118e-37 t=25055
nian yue ri 	年月日	c=9 d=3.27871e-17 t=25055
nie 	捏	c=0 d=0.0327915 t=25055
nie bie ji 	捏别急	c=1 d=0.329559 t=25055
nin 	您	c=7 d=0.782705 t=25055
ning 	凝	c=3 d=1.13835 t=25055
ning 	宁	c=1 d=0.955997 t=25055
ning yuan 	宁愿	c=1 d=8.25359e-37 t=25055
niu jin 	牛津	c=3 d=3.0605e-14 t=25055
niu mo 	牛魔	c=1 d=2.94618e-06 t=25055
niu qu 	扭曲	c=2 d=1.16886 t=25055
nong 	弄	c=3 d=4.83403e-08 t=25055
nu li 	努力	c=1 d=0.324652 t=25055
nv hai 	女孩	c=1 d=0.00131358 t=25055
nv peng you 	女朋友	c=1 d=0.384812 t=25055
nv quan 	女拳	c=0 d=0.0226502 t=25055
nv quan 	女权	c=2 d=0.0677403 t=25055
nv sheng 	女生	c=4 d=0.308645 t=25055
nv tong zhi 	女同志	c=2 d=0.214308 t=25055
nv xing 	女性	c=6 d=0.503212 t=25055
nv xing qun ti 	女性群体	c=1 d=0.267135 t=25055
nv zhuang 	女装	c=1 d=0.932394 t=25055
o 	哦	c=34 d=2.3165 t=25055
o o 	哦哦	c=2 d=0.000217133 t=25055
o o o 	哦哦哦	c=1 d=1.47799e-08 t=25055
o wang luo 	哦网络	c=1 d=0.302704 t=25055
o wang min 	哦网民	c=1 d=0.0031354 t=25055
o xie 	哦写	c=1 d=4.63171e-05 t=25055
ou 	偶	c=0 d=0.099005 t=25055
ou 	欧	c=1 d=8.74757e-15 t=25055
ou er 	偶尔	c=2 d=9.20783e-24 t=25055
ou guan 	欧冠	c=0 d=0.0771052 t=25055
ou jiao yan 	偶校验	c=1 d=0.995012 t=25055
ou lu 	欧陆	c=2 d=2.09762e-14 t=25055
ou lu ci dian 	欧陆词典	c=1 d=9.86286e-15 t=25055
ou shu 	偶数	c=2 d=2.3358e-13 t=25055
ou shu ge 	偶数个	c=2 d=5.04664e-15 t=25055
ou shu hang 	偶数行	c=1 d=2.08258e-13 t=25055
pa 	怕	c=1 d=7.67181e-30 t=25055
pa nu 	帕努	c=0 d=1.69127e-36 t=25055
pa nu dan 	帕努但	c=1 d=1.69975e-35 t=25055
pa shi 	怕是	c=2 d=6.41592e-30 t=25055
pai 	拍	c=2 d=0.398519 t=25055
pai 	排	c=0 d=3.29212e-19 t=25055
pai chu 	排除	c=2 d=2.90442e-15 t=25055
pai lie 	排列	c=1 d=3.29727e-07 t=25055
pai mian 	牌面	c=1 d=1.31945e-26 t=25055
pai xu 	排序	c=2 d=5.62091e-17 t=25055
pan 	盘	c=2 d=2.86383e-25 t=25055
pan ding 	判定	c=1 d=0.25924 t=25055
pan duan 	判断	c=14 d=0.0605068 t=25055
pang bian 	旁边	c=1 d=0.373439 t=25055
pao 	跑	c=1 d=7.10038e-31 t=25055
pao bu liao 	跑不了	c=2 d=3.90138e-28 t=25055
pao man 	跑满	c=1 d=0.895834 t=25055
pao qi lai 	跑起来	c=1 d=2.30638e-08 t=25055
pao shui 	泡水	c=1 d=0.00158052 t=25055
pao yi xia 	泡一下	c=1 d=0.748264 t=25055
pei 	呸	c=2 d=3.67934e-32 t=25055
pei 	配	c=5 d=0.856415 t=25055
pei ban 	陪伴	c=1 d=0.0102549 t=25055
pei dui 	配对	c=1 d=0.980199 t=25055
pei he 	配合	c=2 d=5.33242e-08 t=25055
pei la 	佩拉	c=2 d=1.36856 t=25055
pei se 	配色	c=2 d=1.30347e-22 t=25055
pei su 	配速	c=2 d=1.40165 t=25055
pei tao 	配套	c=1 d=2.18289e-37 t=25055
pei yi ci 	配一次	c=1 d=0.818731 t=25055
pei yin 	配音	c=4 d=2.04645 t=25055
pei zhi 	配置	c=33 d=4.75334 t=25055
peng you 	朋友	c=8 d=0.355226 t=25055
peng you jia 	朋友家	c=1 d=8.44068e-36 t=25055
peng you quan 	朋友圈	c=1 d=0.0578443 t=25055
pi 	批	c=1 d=1.93243e-15 t=25055
pi fu 	皮肤	c=6 d=2.41886 t=25055
pi liang 	批量	c=1 d=1.24498e-19 t=25055
pi pei 	匹配	c=6 d=0.0317102 t=25055
pi zhu 	批注	c=1 d=1 t=25055
pian 	篇	c=1 d=0.218712 t=25055
pian 	骗	c=4 d=3.24228 t=25055
pian duan 	片段	c=1 d=1.70299e-28 t=25055
pian pian 	骗骗	c=0 d=0.0425283 t=25055
pian pian hua 	骗骗花	c=3 d=1.40487 t=25055
piao 	票	c=6 d=3.0053 t=25055
piao hu 	飘忽	c=1 d=0.965605 t=25055
piao yang 	飘扬	c=1 d=2.05898e-26 t=25055
pin 	拼	c=1 d=1.77925e-15 t=25055
pin chang 	品尝	c=1 d=0.00535353 t=25055
pin fa 	拼法	c=1 d=4.50248e-25 t=25055
pin fan 	频繁	c=4 d=0.838581 t=25055
pin jie 	拼接	c=2 d=2.06488e-14 t=25055
pin jie qi lai 	拼接起来	c=1 d=1.78817e-14 t=25055
pin shen me 	拼什么	c=1 d=2.19726e-26 t=25055
pin wei 	品味	c=1 d=0.790571 t=25055
ping bi 	屏蔽	c=1 d=5.81225e-29 t=25055
ping ce 	评测	c=1 d=4.79995e-13 t=25055
ping chang 	平常	c=2 d=8.69621e-26 t=25055
ping fang 	平方	c=1 d=3.52351e-23 t=25055
ping guo 	苹果	c=3 d=0.813125 t=25055
ping jia 	评价	c=2 d=6.5911e-17 t=25055
ping jia yi xia 	评价一下	c=1 d=5.2015e-17 t=25055
ping jun 	平均	c=2 d=0.891366 t=25055
ping lun 	评论	c=1 d=0.438235 t=25055
ping lun qu 	评论区	c=2 d=0.241714 t=25055
ping mu 	屏幕	c=1 d=4.34466e-17 t=25055
ping pu 	平铺	c=0 d=0.0913931 t=25055
ping pu shi 	平铺式	c=1 d=0.918512 t=25055
ping sha 	凭啥	c=1 d=1.08196e-15 t=25055
ping shen me 	凭什么	c=1 d=2.20828e-26 t=25055
ping shi 	平时	c=4 d=0.0287246 t=25055
ping tai 	平台	c=2 d=0.941765 t=25055
ping zi 	瓶子	c=1 d=1 t=25055
po 	坡	c=1 d=0.985112 t=25055
po 	魄	c=1 d=0.839457 t=25055
po fang 	破防	c=2 d=0.541678 t=25055
po hai 	迫害	c=1 d=6.46473e-16 t=25055
po jie 	破解	c=1 d=3.82022e-33 t=25055
po jie ban 	破解版	c=1 d=1.16732e-33 t=25055
po jie ban bing 	破解版冰	c=1 d=1.05687e-33 t=25055
po shi 	破事	c=3 d=0.88692 t=25055
pu 	普	c=0 d=1.03918e-12 t=25055
pu bi 	扑鼻	c=0 d=4.03704e-07 t=25055
pu bi na 	扑鼻那	c=1 d=4.05727e-06 t=25055
pu bian 	普遍	c=6 d=0.71177 t=25055
pu bian xing 	普遍性	c=2 d=4.13e-31 t=25055
pu tong 	普通	c=1 d=1 t=25055
qi 	七	c=0 d=0.0715338 t=25055
qi 	其	c=3 d=0.256712 t=25055
qi 	启	c=2 d=0.562276 t=25055
qi 	器	c=2 d=1.13821e-23 t=25055
qi 	气	c=1 d=6.70527e-34 t=25055
qi 	起	c=1 d=0.985112 t=25055
qi an tou ming 	弃暗投明	c=1 d=1.05615e-25 t=25055
qi bu shi 	岂不是	c=2 d=0.923116 t=25055
qi chuan 	气喘	c=0 d=1.02563e-34 t=25055
qi chuan bu shang lai 	气喘不上来	c=1 d=1.03077e-33 t=25055
qi ci 	其次	c=1 d=3.40938e-18 t=25055
qi dai 	期待	c=2 d=0.301194 t=25055
qi dong 	启动	c=6 d=1.57643 t=25055
qi dong qi 	启动器	c=1 d=0.965605 t=25055
qi dong xiang 	启动项	c=1 d=1.28355e-25 t=25055
qi fei 	起飞	c=1 d=0.900325 t=25055
qi guai 	奇怪	c=7 d=1.89353 t=25055
qi guan jian 	其关键	c=1 d=4.57456e-06 t=25055
qi jian 	期间	c=2 d=8.47792e-36 t=25055
qi ke 	岂可	c=0 d=0.0694197 t=25055
qi ke xiu 	岂可修	c=1 d=0.697676 t=25055
qi lai 	起来	c=4 d=0.802137 t=25055
qi miao 	奇妙	c=1 d=4.79082e-20 t=25055
qi ming 	起名	c=1 d=6.39496e-06 t=25055
qi mo 	期末	c=3 d=4.18154e-08 t=25055
qi qi guai guai 	奇奇怪怪	c=1 d=8.67676e-37 t=25055
qi shi 	其实	c=45 d=2.09816 t=25055
qi shi 	歧视	c=2 d=0.188038 t=25055
qi shi 	起始	c=1 d=6.39823e-12 t=25055
qi shi 	骑士	c=1 d=5.07347e-35 t=25055
qi shou 	起售	c=1 d=0.546074 t=25055
qi shou 	起手	c=1 d=0.159614 t=25055
qi ta 	其他	c=21 d=1.2939 t=25055
qi ta xiang 	其他项	c=1 d=4.38907e-19 t=25055
qi wang 	期望	c=3 d=1.46617 t=25055
qi ya 	欺压	c=1 d=0.0893673 t=25055
qi yong 	启用	c=1 d=1.0784e-35 t=25055
qi zhong 	其中	c=6 d=2.87389e-16 t=25055
qi zhuang yi fu 	奇装异服	c=2 d=1.02185e-23 t=25055
qia fan 	恰饭	c=1 d=5.01389e-26 t=25055
qian 	前	c=2 d=0.690734 t=25055
qian 	钱	c=0 d=9.98065e-38 t=25055
qian cheng 	前程	c=1 d=0.516851 t=25055
qian duan shi jian 	前段时间	c=1 d=4.71709e-14 t=25055
qian jing 	前景	c=1 d=1.39116e-31 t=25055
qian li 	潜力	c=0 d=1.57671e-05 t=25055
qian li na guo dao 	潜力那国岛	c=1 d=0.000158461 t=25055
qian mian 	前面	c=10 d=1.44007 t=25055
qian ming 	签名	c=3 d=1.1369e-09 t=25055
qian qi 	前期	c=1 d=0.511709 t=25055
qian ru 	嵌入	c=1 d=4.13994e-08 t=25055
qian ru shi 	嵌入式	c=5 d=0.918512 t=25055
qian ti 	前提	c=1 d=2.41295e-10 t=25055
qian ti shi 	前提是	c=1 d=0.657047 t=25055
qian yi 	迁移	c=0 d=2.30043e-08 t=25055
qian yi dao 	迁移到	c=1 d=2.31196e-07 t=25055
qian zhan 	前瞻	c=2 d=1.84191 t=25055
qian zhan zhi bo 	前瞻直播	c=1 d=1.12999e-26 t=25055
qian zhui 	前缀	c=4 d=0.0319048 t=25055
qiang 	强	c=2 d=0.144424 t=25055
qiang 	抢	c=6 d=3.40683 t=25055
qiang bu dao 	抢不到	c=3 d=2.36192 t=25055
qiang du 	强度	c=0 d=7.05528e-16 t=25055
qiang du di 	强度低	c=1 d=7.09065e-15 t=25055
qiang duo 	强多	c=1 d=0.718924 t=25055
qiang hua 	强化	c=1 d=4.74234e-18 t=25055
qiang piao 	抢票	c=1 d=0.537944 t=25055
qiang shuo 	强说	c=1 d=0.477114 t=25055
qiang zhe 	抢着	c=1 d=0.522046 t=25055
qiang zhi 	强制	c=6 d=2.58257 t=25055
qiao 	巧	c=1 d=2.76124e-08 t=25055
qiao 	敲	c=1 d=0.207008 t=25055
qiao cui 	憔悴	c=1 d=0.970446 t=25055
qie 	且	c=1 d=3.64964e-25 t=25055
qie ge 	切割	c=1 d=0.105928 t=25055
qie huan 	切换	c=9 d=2.15946 t=25055
qie huan tu pian 	切换图片	c=1 d=0.726149 t=25055
qie pian 	切片	c=5 d=1.37589e-29 t=25055
qin ai 	亲爱	c=0 d=0.0767206 t=25055
qin ai gei zhi 	亲爱给值	c=1 d=0.771052 t=25055
qin shi 	寝室	c=6 d=1.24164 t=25055
qin zi 	亲自	c=1 d=0.410656 t=25055
qing 	请	c=4 d=1.51653 t=25055
qing an 	请按	c=0 d=1.48615e-15 t=25055
qing bao 	情报	c=1 d=1 t=25055
qing chu 	清楚	c=3 d=0.348206 t=25055
qing chun 	青春	c=1 d=1.27606e-15 t=25055
qing dan 	清单	c=2 d=1.08611 t=25055
qing gan 	情感	c=1 d=3.92373e-24 t=25055
qing gui 	轻轨	c=2 d=3.27851e-16 t=25055
qing guo lai 	请过来	c=1 d=0.810584 t=25055
qing hua 	清华	c=4 d=5.37378e-18 t=25055
qing kuan 	请款	c=0 d=1.23339e-20 t=25055
qing kuan fang xia 	请款放下	c=1 d=6.18237e-20 t=25055
qing kuan xia 	请款下	c=1 d=6.21336e-20 t=25055
qing kuang 	情况	c=18 d=1.72822 t=25055
qing kuang huan 	请狂欢	c=1 d=1.30432e-08 t=25055
qing kuang xia 	情况下	c=6 d=1.033 t=25055
qing kuang xia mi na 	情况下米娜	c=1 d=5.9053e-10 t=25055
qing qing shuang shuang 	清清爽爽	c=1 d=1 t=25055
qing qiu 	请求	c=1 d=0.128735 t=25055
qing qu 	轻取	c=2 d=2.68514e-30 t=25055
qing que 	青雀	c=6 d=0.535261 t=25055
qing shang 	情商	c=1 d=0.460704 t=25055
qing shu ru 	请输入	c=1 d=0.390628 t=25055
qing song 	轻松	c=2 d=1.7042e-07 t=25055
qing wen 	请问	c=1 d=2.49627e-27 t=25055
qing xi 	清晰	c=2 d=0.205975 t=25055
qing xu 	情绪	c=2 d=0.874553 t=25055
qing xu hua 	情绪化	c=1 d=0.25284 t=25055
qing yi 	轻易	c=1 d=0.00031751 t=25055
qing zao 	清早	c=1 d=0.97531 t=25055
qing zhong 	轻重	c=1 d=1.67415e-33 t=25055
qiong bing du wu 	穷兵黩武	c=1 d=0.00474815 t=25055
qiu 	求	c=3 d=6.13357e-15 t=25055
qiu 	球	c=1 d=0.722527 t=25055
qiu feng 	秋风	c=1 d=0.279431 t=25055
qiu fo 	求佛	c=1 d=0.951229 t=25055
qu 	区	c=1 d=7.9068e-32 t=25055
qu 	去	c=18 d=1.83932 t=25055
qu 	取	c=1 d=9.69094e-14 t=25055
qu ba 	去吧	c=1 d=0.900325 t=25055
qu bie 	区别	c=9 d=0.0466538 t=25055
qu chu 	去除	c=1 d=4.86074e-14 t=25055
qu chu 	取出	c=2 d=6.75432e-14 t=25055
qu chu lai 	取出来	c=1 d=1.04095e-31 t=25055
qu de 	取得	c=2 d=1.37571e-17 t=25055
qu diao 	去掉	c=2 d=1.2239e-24 t=25055
qu dong 	驱动	c=1 d=1.77647e-25 t=25055
qu fen 	区分	c=6 d=1.06418e-05 t=25055
qu jian 	区间	c=1 d=2.40002e-35 t=25055
qu jue yu 	取决于	c=1 d=4.90192e-25 t=25055
qu nian 	去年	c=1 d=5.32303e-24 t=25055
qu qu 	蛐蛐	c=2 d=0.470435 t=25055
qu ti 	躯体	c=1 d=8.91337e-30 t=25055
qu wen 	去问	c=1 d=0.0620385 t=25055
qu xian 	曲线	c=1 d=1.2222e-37 t=25055
qu xiao 	取消	c=4 d=1.49487 t=25055
qu yong 	去用	c=1 d=1.6814e-25 t=25055
quan 	全	c=5 d=1.42249 t=25055
quan 	圈	c=0 d=0.019398 t=25055
quan bu 	全部	c=6 d=4.99072e-14 t=25055
quan bu shi 	全部是	c=1 d=4.41107e-19 t=25055
quan bu yong 	全不用	c=1 d=1.64553e-36 t=25055
quan dou 	全都	c=3 d=0.909373 t=25055
quan dou shi 	全都是	c=1 d=7.57587e-29 t=25055
quan jiao 	全角	c=1 d=5.657e-34 t=25055
quan jiao 	拳脚	c=1 d=5.62878e-34 t=25055
quan ju 	全局	c=3 d=1.0314e-32 t=25055
quan kao 	全靠	c=1 d=2.60044e-08 t=25055
quan ping 	全屏	c=2 d=1.47917 t=25055
quan qiu 	全球	c=1 d=1.20154e-13 t=25055
quan shi 	全市	c=4 d=0.960416 t=25055
quan shi 	全是	c=1 d=0.900325 t=25055
quan suo 	蜷缩	c=3 d=1.50686 t=25055
quan ti 	全体	c=2 d=0.390296 t=25055
quan xian 	权限	c=3 d=0.923116 t=25055
que 	缺	c=1 d=0.000953212 t=25055
que ding 	确定	c=7 d=0.00720785 t=25055
que ren 	确认	c=4 d=2.83949 t=25055
que shang hai 	缺伤害	c=2 d=0.00194188 t=25055
que shi 	确实	c=53 d=5.11227 t=25055
que shi 	缺失	c=1 d=0.941765 t=25055
que xin 	确信	c=1 d=0.548812 t=25055
qun 	群	c=1 d=1.45248e-10 t=25055
qun ou 	群殴	c=0 d=5.67164e-36 t=25055
qun ti 	群体	c=1 d=0.0506934 t=25055
qun wen jian 	群文件	c=1 d=1.45975e-09 t=25055
qun ye mei you 	群也没有	c=1 d=1.36176e-15 t=25055
qun zhu 	群主	c=1 d=1.77405e-09 t=25055
ran er 	然而	c=6 d=0.737123 t=25055
ran hou 	然后	c=107 d=6.10437 t=25055
ran ou 	然欧	c=1 d=9.14398e-07 t=25055
rang 	让	c=24 d=2.09965 t=25055
rang ei fu yi zhi 	让诶服役只	c=1 d=0.0144798 t=25055
rang ni 	让你	c=1 d=0.13466 t=25055
rang ren 	让人	c=2 d=0.826997 t=25055
rang ta 	让他	c=2 d=0.747583 t=25055
rang wo 	让我	c=8 d=0.690527 t=25055
rao 	绕	c=1 d=3.51142e-13 t=25055
rao jin qu 	绕进去	c=1 d=3.52902e-12 t=25055
rao luan 	扰乱	c=1 d=0.918512 t=25055
re ai 	热爱	c=0 d=1.44897e-11 t=25055
re men 	热门	c=1 d=0.927743 t=25055
re nao 	热闹	c=1 d=8.83549e-15 t=25055
re sou 	热搜	c=2 d=5.73291e-36 t=25055
ren 	人	c=26 d=2.6086 t=25055
ren 	任	c=3 d=0.676998 t=25055
ren chuan 	仁川	c=1 d=1 t=25055
ren gong 	人工	c=1 d=4.42173e-18 t=25055
ren gong zhi neng 	人工智能	c=2 d=8.84697e-16 t=25055
ren he 	人和	c=0 d=4.33418e-19 t=25055
ren he 	任何	c=2 d=0.132022 t=25055
ren he ren 	人和人	c=1 d=4.3559e-18 t=25055
ren jia 	人家	c=7 d=1.48403 t=25055
ren jia ai 	人家爱	c=1 d=0.305746 t=25055
ren she 	人设	c=1 d=0.433874 t=25055
ren sheng 	人生	c=1 d=0.311923 t=25055
ren shi 	认识	c=2 d=0.350022 t=25055
ren shuo 	人说	c=1 d=1.69657e-13 t=25055
ren wei 	认为	c=6 d=0.64806 t=25055
ren wu 	人物	c=10 d=0.955597 t=25055
ren wu 	任务	c=2 d=2.38196e-05 t=25055
ren wu chi zi 	人物池子	c=1 d=0.965605 t=25055
ren wu lan 	任务栏	c=2 d=0.992562 t=25055
ren xing dao 	人行道	c=1 d=1.57832e-16 t=25055
ren xuan 	人选	c=1 d=0.12493 t=25055
ren yi 	任意	c=1 d=0.831104 t=25055
ren yi ge 	任一个	c=1 d=2.32909e-35 t=25055
ren zai 	人在	c=0 d=2.89375e-31 t=25055
ren zhe 	忍者	c=2 d=0.99005 t=25055
ren zhen 	认真	c=2 d=0.383238 t=25055
ren zheng 	认证	c=3 d=3.28789e-22 t=25055
ren zhuan 	人转	c=0 d=0.0913931 t=25055
reng ran 	仍然	c=13 d=0.000147862 t=25055
reng wo 	扔我	c=1 d=4.753e-15 t=25055
ri 	日	c=2 d=5.9032e-20 t=25055
ri chang 	日常	c=3 d=0.966286 t=25055
ri fu 	日复	c=0 d=0.00144798 t=25055
ri fu yi zhi 	日复一直	c=1 d=0.0145524 t=25055
ri qi 	日期	c=40 d=6.46688e-17 t=25055
ri shi 	日式	c=1 d=6.5669e-24 t=25055
ri yu 	日语	c=1 d=0.99005 t=25055
ri zhi 	日志	c=1 d=1 t=25055
ri zi 	日子	c=1 d=2.99275e-14 t=25055
rong liang 	容量	c=1 d=3.03849e-16 t=25055
rong qi 	容器	c=1 d=7.48112e-28 t=25055
rong yi 	容易	c=3 d=0.798524 t=25055
rou ge 	肉鸽	c=1 d=0.790571 t=25055
ru 	如	c=3 d=0.722527 t=25055
ru ci 	如此	c=1 d=0.965605 t=25055
ru gu 	入股	c=1 d=0.301194 t=25055
ru guo 	如果	c=74 d=1.41756 t=25055
ru guo bu ou 	如果布偶	c=1 d=4.60297e-20 t=25055
ru guo shi 	如果是	c=1 d=1.5865e-18 t=25055
ru guo you 	如果有	c=1 d=0.806541 t=25055
ru he 	如何	c=154 d=7.22606 t=25055
ru he biao shi 	如何表示	c=1 d=3.83023e-05 t=25055
ru he xie 	如何写	c=1 d=5.51169e-22 t=25055
ru he zuo 	如何做	c=1 d=1.79713e-14 t=25055
ru hu 	如虎	c=2 d=4.64686e-14 t=25055
ru men 	入门	c=4 d=7.69463e-27 t=25055
ru ni 	如泥	c=1 d=0.603506 t=25055
ru qin 	入侵	c=1 d=2.06186e-13 t=25055
ru shuo 	如说	c=0 d=9.05145e-06 t=25055
ru xiang sui su 	入乡随俗	c=1 d=1.51406e-27 t=25055
ru xue 	入学	c=1 d=0.425283 t=25055
ru zhi 	入职	c=1 d=0.718924 t=25055
ruan 	软	c=2 d=2.46128e-08 t=25055
ruan 	阮	c=4 d=1.72459 t=25055
ruan jian 	软件	c=7 d=1.1065e-14 t=25055
ruan jian bao 	软件包	c=1 d=1.69565e-36 t=25055
ruan jian yuan 	软件园	c=1 d=5.82928e-34 t=25055
ruan lian jie 	软链接	c=1 d=1.6124e-32 t=25055
ruan mei 	软妹	c=2 d=0.828075 t=25055
ruan wo 	软卧	c=10 d=7.22287 t=25055
ruan ying jian 	软硬件	c=1 d=2.37662e-08 t=25055
rui pin 	睿频	c=1 d=0.00557201 t=25055
rui ping 	锐评	c=3 d=0.00577073 t=25055
rui ya 	瑞亚	c=1 d=1 t=25055
rui zi 	瑞兹	c=1 d=9.43529e-23 t=25055
run 	润	c=1 d=2.27004e-27 t=25055
ruo dian 	弱点	c=1 d=0.704688 t=25055
ruo hua 	弱化	c=1 d=0.755784 t=25055
ruo shi 	弱势	c=1 d=0.0515605 t=25055
sai ma 	赛马	c=1 d=0.00036159 t=25055
san 	三	c=2 d=0.799355 t=25055
san bai duo 	三百多	c=1 d=7.61773e-35 t=25055
san ci 	三次	c=3 d=1.3752e-09 t=25055
san ci yuan 	三次元	c=1 d=0.131336 t=25055
san fen 	三份	c=1 d=0.918512 t=25055
san ge 	三个	c=16 d=0.302969 t=25055
san ge zhi zhen 	三个指针	c=1 d=2.0615e-11 t=25055
san guo 	三国	c=2 d=0.790571 t=25055
san guo sha 	三国杀	c=6 d=5.72786 t=25055
san hang 	三航	c=1 d=9.56648e-09 t=25055
san jie duan 	三阶段	c=1 d=0.00914087 t=25055
san ju hua 	三句话	c=2 d=0.0212823 t=25055
san nan du 	三难度	c=1 d=0.00115923 t=25055
san pai 	三排	c=1 d=0.995012 t=25055
san shang 	三上	c=0 d=2.51664e-06 t=25055
san shi er fen 	三十二分	c=1 d=5.89507e-19 t=25055
san si 	三四	c=1 d=5.82947e-05 t=25055
san wan 	三万	c=0 d=2.88735e-05 t=25055
san wan hang 	三万行	c=1 d=0.000290183 t=25055
san wei 	三位	c=0 d=2.63015e-25 t=25055
san xiu 	三修	c=1 d=1.60299e-22 t=25055
san xuan er 	三渲二	c=2 d=1.15146 t=25055
san yuan 	三元	c=0 d=0.0494109 t=25055
san yuan biao da shi 	三元表达式	c=1 d=0.496585 t=25055
san yue 	三月	c=2 d=0.65493 t=25055
san yue qi 	三月七	c=1 d=0.718924 t=25055
san zhang 	三张	c=1 d=0.900325 t=25055
sao 	扫	c=1 d=5.43999e-15 t=25055
sao 	骚	c=1 d=5.54309e-30 t=25055
sao cao zuo 	扫操作	c=1 d=5.51545e-30 t=25055
sao lei 	扫雷	c=1 d=3.51262e-16 t=25055
sao rao 	骚扰	c=0 d=5.09313e-35 t=25055
sao rao shi 	骚扰式	c=1 d=5.11866e-34 t=25055
se 	色	c=2 d=0.913931 t=25055
se tu 	涩图	c=2 d=1.65989 t=25055
sha 	啥	c=15 d=1.25646 t=25055
sha bi 	傻逼	c=1 d=1 t=25055
sha dou 	啥都	c=1 d=0.0057994 t=25055
sha hui 	杀回	c=0 d=6.34212e-27 t=25055
sha hui lai 	杀回来	c=1 d=6.37391e-26 t=25055
sha qing kuang 	啥情况	c=2 d=1.43255e-23 t=25055
sha ren 	啥人	c=1 d=0.99005 t=25055
sha ren 	杀人	c=0 d=0.0980199 t=25055
sha shi 	啥事	c=2 d=3.20707e-23 t=25055
sha shi hou 	啥时候	c=2 d=0.882497 t=25055
sha shi hou qu 	啥时候去	c=1 d=4.74719e-30 t=25055
sha yi si 	啥意思	c=4 d=0.23672 t=25055
shan 	删	c=13 d=0.331211 t=25055
shan 	善	c=16 d=1.60567 t=25055
shan 	珊	c=1 d=0.88692 t=25055
shan chu 	删除	c=14 d=3.20561 t=25055
shan diao 	删掉	c=2 d=3.04532e-13 t=25055
shan guang 	闪光	c=1 d=1.26139e-26 t=25055
shan he 	山河	c=1 d=0.951229 t=25055
shan tui 	闪退	c=2 d=0.0181452 t=25055
shan zhong 	山中	c=1 d=0.00305798 t=25055
shang 	上	c=34 d=1.61285 t=25055
shang ban 	上半	c=1 d=0.826959 t=25055
shang ban 	上班	c=1 d=0.995012 t=25055
shang bu liao 	上不了	c=1 d=0.913931 t=25055
shang ce 	上策	c=1 d=0.00115345 t=25055
shang chuan 	上传	c=2 d=1.79188e-09 t=25055
shang ci 	上次	c=3 d=0.000515692 t=25055
shang dang le 	上当了	c=1 d=0.582748 t=25055
